,importance
year,0.02360657908417119
revenue_usd_bn,0.03175832702406121
scope1_emissions_mt_co2e,0.03171439484437957
scope2_emissions_mt_co2e,0.02470304487500769
scope3_emissions_mt_co2e,0.045965390423099224
total_s1_s2_mt_co2e,0.03106911968751211
yoy_scope1_change_pct,0.3525786140342642
carbon_intensity_tco2e_per_musd,0.02120430092118229
esg_score_0_100,0.14700350967074985
cdp_climate_score,0.010590660398303395
net_zero_target_set,0.0007027625049914239
sbti_committed,0.0024023114905848022
emissions_disclosed,0.003444294623011608
third_party_verified,0.0025769285991687593
is_first_year,0.0005861378078451354
scope1_intensity,0.024827466808378648
scope2_intensity,0.03378128496950219
scope3_intensity,0.04503073945302377
total_emissions,0.034161791802727916
esg_emission_gap,0.02859391019579469
commitment_score,0.0015906526680032097
country_DEU,0.007170361821271898
country_ESP,0.000603692747733509
country_FRA,0.002572341810178213
country_GBR,0.0031160596044413486
country_ITA,0.034506442422192196
country_LUX,0.00031040451792405707
country_NOR,0.004341960068456375
country_USA,0.027129687302077248
sector_Industrials,0.008069906248559067
sector_Utilities,0.014286921571403292
